ProductID,Score
 B003A02O38,3.0
 6302722055,2.5
 B004SIP6BI,96.6931457385
 6301581598,1.61111111111
 B0096RC57O,3.83333333333
 076780046X,31.7439923124
 B003CRM6PA,37.4855192083
 B000F0UTW4,1.0
 B000FOR9XW,3.16071428571
 B000ANVPPG,56.9799831252
 B004TJRD94,0.0
 B000W2FI7Q,1.91304347826
 B00005U14D,7.09166666667
 B000FOR9XM,1.33548387097
 B001ILFUDW,6.68888888889
 B003YKDPAA,2.66666666667
 B000F8O3PU,2.40555555556
 B007EMEOEA,0.833333333333
 B000ANVPPQ,93.2017058918
 630024847X,4.58333333333
 B000TJBO16,11.8476190476
 B000KRN25I,4.16883116883
 0790732033,19.6282051282
 B003WF4574,0.0
 B0014Z4OOI,6.39797979798
 B003BM374K,27.1372119816
 B0045V6FRC,17.8503663004
 B002CWWN0Y,0.892857142857
 B000063USN,9.38731826761
 B00005JYAY,99.7020377496
 B004ZWHZUC,0.0
 B000W90JD2,3.5
 B007UK703S,0.0
 B004X4ROPS,3.21666666667
 B000JR8HOU,0.0
 B000ILYYYY,8.0
 B008M34Y72,9.92543859649
 B000J0XJC2,176.797050501
 B0001K5GOO,13.1638518087
 B005KCA33C,0.0
 B0010XOKM0,3.5
 B00004WM3D,75.0454608325
 B00004WM3E,0.0
 6302066980,1.0
 B000F9RL9Y,6.02196969697
 B0001GH7VS,6.3318627451
 B00005RDSC,0.155172413793
 6304646127,2.3
 B001ILFUDM,99.9592338315
 B00005MFO8,209.176602986
 B005AZHGRU,0.5
 B0062MI5KM,1.41666666667
 5556167281,161.093193202
 B000IMM3XW,121.45440366
 B000F9RL9E,1.72222222222
 0764004492,3.0
 B000CDSS86,14.6843074409
 0934837120,1.76388888889
 B003YBHZ28,5.6
 B0049FFVGU,10.6387772573
 6304095775,3.35476190476
 B000A2WMGS,3.5
 6300218767,1.0
 B00005M1YM,7.38333333333
 B0000WU79C,0.0
 B0000544LY,5.71774193548
 B003BUAP10,3.0
 B001ILFUD2,12.8273899883
 B0052IBFMW,0.5
 6300233316,1.0
 6300215857,17.5717787115
 B00067BBR8,5.35714285714
 B000VII4D6,55.7123586763
 B000ANVPP6,56.9799831252
 B00005M1Y1,11.9666666667
 B00005LKL8,14.7360420878
 B0007R4T5I,3.0
 B004R10MA6,49.5834956671
 B008IG0F7G,2.91666666667
 B0042W0BQA,1.0
 B004USUOX6,11.7297979798
 B00005LKL7,95.4273765037
 B00020X8MA,3.7619047619
 B004916TQA,3.32222222222
 B00064N6VU,4.0
 B000XJD37K,0.0
 6304040164,2.9358974359
 B002LEJQNA,0.0
 B000KX0IMM,2.28571428571
 B000068QPR,4.31025641026
 B006MWA8O8,15.6444444444
 B000BB1ME6,1.0
 B004HRDMHK,29.9642857143
 B0000C8AXJ,0.0
 B00005V9I4,10.7424206229
 6305146187,3.0
 B002UIGMYS,20.991017316
 B000VNMMRK,1.0
 B005FIXA6S,1.0
 B00005V9I0,8.78647561589
 B003DBEX6K,167.478166911
 B002JVX0JG,3.0
 6304653638,1.0
 B0008ENIM0,0.166666666667
 B002B7CFR6,5.23980641258
 6302179661,0.846153846154
 6303039405,42.2691716856
 B005CXOGAU,15.3740634024
 B001NRPR9S,0.0
 B0065PVKH6,1.0
 B000GALHPQ,0.5
